kings	Karalis.
svods	Maizes krāsns virsas savienojums, salaidums; krāsns velve.
mīnis	Skaitlis.
alate	Upēs un dažos ezeros sastopama zivs, 20-50 cm garumā, ķermenis slaids, irbuļveidīgs, astes spura stipri šķelta, muguras spura tumšiem plankumiem.
borte	Apģērbu apmale.
šļūde	Trauks vai bedre, kur salej netīro ūdeni.
kņāga	Kņēga (2).
draba	Drojenes.
labie	Labieši.
pleša	Dauzoņa.
krabs	Krabis.
tūlis	Tūļa.
annus	Gads.
stāžs	Darbības ilgums (kādā nozarē); laiks, kas ir nepieciešams, lai, strādājot (kādā specialitātē), darbojoties (kādā organizācijā), iegūtu pieredzi, paaugstinātu kvalifikāciju, arī noteiktu piemērotību.
ciska	Kājas daļa no iegurņa līdz ceļa locītavai; augšstilbs.
žumpa	Liela, netīra peļķe.
ramte	Kūja, spieķis.
večis	Vecs, precēts vīrs.
mītns	Miecēts.
šalis	Šalle.
agone	Agoniskā līnija - nulles izogona, kas kartē savieno punktus, kuru magnētiskā deklinācija ir nulle.
perša	Pants; arī dzejolis.
krūpe	Vista ar īsām kājām.
čarpa	Netīrs cilvēks.
vafļa	Dzimumloceklis.
čekls	Čakls.
gulka	Savienojumā "gulku gulkām" raksturo steidzīgu rīcību.
diāde	Viena no pārveida hromosomu grupām, kas izveidojas mejozē, daloties tetrādei.
zilce	Galerta receklis (bez gaļas).
udele	Makšķeres (ūdas) veids.
žļuga	Putrveida masa.
drūvs	Aukstumā sastindzis.
stāģe	Šķūnis pie kūtīm, kurā uzglabā un sagatavo lopu ēdamo.
sarve	Vētījamais siets.
cyska	Augštilbs.
summa	Divu vai vairāku lielumu saskaitīšanas rezultāts; izteiksme, kuras locekļi ir savienoti ar plusa zīmi.
inkas	Inki.
tulle	Zivs.
prass	Ēst prasīšana, ciemiņa mielošana.
kūkas	Mazi mīkstie miltu konditorejas gabalizstrādājumi ar lielu cukura, tauku un olu daudzumu.
leķis	Sniega pika.
ēšķis	Ķildnieks.
stāns	Sieviešu krekls (bez rokām).
trots	Riksis; kāda deja.
sutņa	Gulētājs.
ļipas	Viltoti dokumenti.
virpa	Virpulis (1).
salna	Gaisa temperatūras pazemināšanās vakarā, naktī zem 0 grādiem pēc Celsija skalas, ja dienā tā ir bijusi virs 0 grādiem; ledus kristālu kopums, kas rodas, šādi pazeminoties gaisa temperatūrai.
oters	Otrs.
tērza	Ubagu kule.
brama	Appušķoti goda vārti kāzās.
džūks	Lēts ceļmalas krodziņš ASV dienvidaustrumos.
džūde	Meitene, jauna sieviete.
putas	Gaisa, gāzes pūslīšu kopums, kas izdalās kāda šķidruma, masas virspusē.
kolis	Miltu kode; kode.
abida	Pārestība, sarūgtinājums, apbēdinājums.
cilta	Izcelsme.
narvs	Bramanis, likumpārkāpējs.
goiņa	Dem. --> goja, govs.
rieva	Garens, šaurs padziļinājums (priekšmeta, auga virsmā).
āklis	Muļķis.
klans	Peļķe, palts; dīķis.
fūzis	Paģiras.
nasua	Degunlācīši jeb koati.
bloss	Tūļa, sliņķis.
juris	Necils cilvēks.
ēdams	Divd. --> ēst.
sugus	Šķira.
stēks	Mezgls 1(1).
sumis	Draugs, kaimiņš; sumelis.
basis	Basketbols.
mirra	Savādi sveķi no dažiem Āfrikas un Arabijas kokiem, lieto medicīnā.
jēmas	Lopu barība: ar pelavām savārīti milti; pretīgs sauss vai slapjš mistrs.
zafte	Augļu ievārījums; marmelāde.
cissa	Zaļžagata.
miāze	Slimība, ko izraisa mušu kāpuru infestācija (ausīs, degunā, zarnās, acī, ādā u. c.).
līmeš	Blakus, pie sāniem.
otene	Sausā vietā audzis bērzs (pretstatā purva bērzam).
žulte	Žults.
kusls	Vārgs (par cilvēkiem vai dzīvniekiem, to ķermeņa daļām).
jakts	Tracis; rotaļāšanās; draiskuļošanās.
dzira	Apņemšanās.
folks	Virziens estrādes mūzikā; tautas mūzikai tuvas balādveida melodijas ar tekstiem par aktuālām sociālām un politiskām tēmām, uzsvērti vienkāršs instrumentāls pavadījums.
fisks	Valsts kase.
mosts	Stostītājs, lempis, tūļa.
astre	Astere ("Aster").
perda	Paniņas.
āzīgs	Ķildīgs, nesaticīgs.
sigas	Liels daudzums nelielu augļu (īpaši kartupeļu).
ķesas	Skrandas, lupatas.
dalma	Tīteņi no maltās gaļas (parasti aitas gaļas), kas ietīti vīnogu lapās; dolma.
stota	Zirga pakava radze; nagla zābakā.
bakhs	Bakhijs.
colls	Colla (aptuveni 2,54 cm).
bimss	Bēme - kuģa vai laivas (ar klāju) šķērssaists, kas savieno brangu galus; kuģa lūku šķērssija.
arīds	Sauss, tuksnešains, ar nelielu gada nokrišņu daudzumu (līdz 150-200 mm), intensīvu iztvaikošanu, ar krasām diennakts un sezonālām temperatūras svārstībām un intensīvu mehānisku dēdēšanu.
slava	Ļoti augsts, sabiedrībā vai tās daļā izplatīts (kāda cilvēka, cilvēku grupas, organizācijas darbības, īpašību) vērtējums.
reize	Norāda uz darbības, stāvokļa vietu kādā secībā vai uz to atkārtošanos, biežumu.
želve	Samazgas.
akata	Kāre; alkas; vēlme.
ņauga	Ņaudētājs, kas vienmēr mēdz žēloties.
drupa	Drupata.
sīpes	Brāzmas.
alags	Avots; ala ar avotu; caurums zemē, no kura avotiņš burbuļo.
cirks	Mākslas veids, kura galvenie žanri ir akrobātika, jāšanas sports, ekvilibristika, žonglēšana, klaunāde, dzīvnieku dresūra, iluzionisms.
ptoze	Augšējā plakstiņa noslīdēšana sakarā ar tā cēlējmuskuļa paralīzi.
vicia	Vīķi.
zaiba	Zibens.
košus	Savienojumā ar verba "kost" formām izsaka darbības pastiprinājumu.
bites	Bite.
punga	Pumpa; paugurs.
cilte	Cilts.
larba	Pļāpīga sieviete.
sfēns	Titanīts - minerāls, kalcija un titāna silikāts; izejviela titāna oksīda iegūšanai.
bukte	Iegludināta ieloce, iegludināta vīle (parasti biksēm).
janka	Ķīļveida formas cirvis slīperu ciršanai.
prāca	Pūles; darbs, kas prasa lielu piepūli.
nazgs	Mezgls.
pīkšs	Pīkstiens.
klājš	Pārklājs, sega.
tāsne	Tāss.
ķēkas	Ēdiens, pagatavots no rudziem, kviešiem, miežiem, zirņiem, pupām un griķiem.
nošpa	Preparāts, kas novērš spazmas visos orgānos, kur ir gludā muskulatūra.
tāsis	Tāss.
mimus	Zobgaļstrazdu dzimtas ģints.
lazde	Parastā lazda ("Corylus avellana").
tēgas	Pļāpas.
tamza	Liels, lempīgs, neveikls cilvēks; tūļa.
rūpas	Rūpes.
ļirra	Raudas.
joika	Tradicionāla sāmu dziesma bez vai ar vārdiem, bieži vien improvizēta, melodijām komplicēta ritmika.
caurš	Caurs.
mārka	Mārks, dīķis.
slots	Ekspertsistēmās - kadra sastāvdaļa, kas satur objektu vārdus, atribūtus, vērtības un dažādas norādes.
zieds	Sija, slita.
dvase	Grūta elpa.
cirta	Piltuvveidīga eja zvejas rīkiem (tīklam, kurvim u. c.) dibendaļā; iedzirklis (1).
vēdas	Vēcieni, to radīta gaisa pūsma; (vēja) pūsma.
verba	Pūpolvītols ("Salix caprea"); blīgzda.
kālis	Kāls - 30 gabali.
cūkas	Cūka.
daija	Stienis, pālis upītes aizsprostiem, dambjiem.
lucka	Vircas, netīrumu bedre.
bomža	Bezpajumtnieks; klaidonis.
iekša	Telpu iekšiene, iekšpuse.
kuzla	Sēklas miziņa (piem., pupai, zirnim).
daška	Dakša.
svīre	Svira.
troša	Lielas zvejas laivas enkura tauva.
ķurse	Ķursē raut - sarauties, savilkties.
moels	Ebreju reliģiskā rituāla dalībnieks, kas veic apgraizīšanu.
kļevs	Parastā kļava ("Acer platanoides").
untas	Dažāda veida kažokādas apavi; darina gk. no ziemeļbrieža kāju ādas, rotā gaišiem un tumšiem kažokādas gabaliņiem, krellītēm vai krāsaina tūka strēmelītēm.
leska	Nekārtīgs, netīrīgs, nevīžīgs cilvēks; arī slikts cilvēks.
štūva	Kartupeļu biezputra.
nieks	Neliels priekšmets; neliels mazvērtīgs, arī nelietderīgs priekšmets.
dzēča	Dzērājs, žūpa.
pizna	Piznu piznās - maziem gabaliņiem nekārtīgi samētāts.
ķūķis	Linu vai labības kūlīšu kopa.
lītus	Lietus.
friča	Frizūra.
rieba	Riebums.
maats	Jūrnieku valodā draugs, palīgs.
ķemša	Kāds, kas kārīgi un nevīžīgi ēd, ķemsē.
peras	Peldēšanās.
bobis	Suns.
papus	Tēvs.
virza	Neļķu dzimtas ģints ("Stellaria"), lakstaugs ar ložņājošu sakneni un gulošu vai pacilā stublāju, pretējām lapām un baltiem ziediem.
judrs	Sapuvis, mīksts, porains.
burģe	Burve, vārdotāja, pūšļotāja.
ģinga	Kāds, kas raud (par bērniem).
šuška	Pastalu adata.
noska	Rīkste, žagars.
sibra	Kuņģis, māga; guza.
chara	Haras.
tiere	Grēda, kaudze.
vaire	Vairs.
pizla	Nestiprs, viegls alus; piza.
slups	Slūpe.
otiņa	Dem. --> ota.
viņčs	Vinča.
ičiks	Vistas (vai cita putna) kuņģis.
cukrs	Cukurs.
pimpa	Raudulīgs bērns, raudulīgs cilvēks.
bļava	Kliedzējs, bļāvējs.
ranks	Nestabils.
čerra	Čers.
haoss	Pilnīgs sistēmas trūkums; liela nekārtība, juceklis.
naiks	Sparīgs, spēcīgs, dusmīgs.
kumma	Koka kaste dzīvu zivju glabāšanai un pārvadāšanai, parasti laivas vai trijstūra veida ar visapkārt izurbtiem caurumiņiem un vāku vienā galā; kuma; kummis; igvāts.
trūds	Sadalījušās organisko vielu atliekas (trūdvielas) saturoša aramzeme (irdne, augsne).
žasts	Bērns, kam patīk kāpelēt, rāpties.
vāķis	Vāķeris.
gmina	Vietējās pašvaldības un administratīvi teritoriālā vienība Polijā.
marcs	Marts.
lukss	Greznums, grezna dzīve, izšķērdība.
gobia	Heterogenerātu klases rindas "Dictyosiphonales" ģints.
svīks	Tapa mucas gaisa cauruma aizdarīšanai.
areka	Palmu ģints ("Areca"), aug tropu zemēs - no Indijas līdz Jaungvinejai, kokiem ir plūksnotas lapas, dažas sugas kultivē oranžērijās un kā telpaugus.
nipis	Sekste, kas tītaram karājas pāri knābim.
langa	Lamuvārds.
cizis	Tūļa, lempis.
pušta	Vidusdonavas graudzāļu stepe smilšainas melnzemes augsnē.
besis	Nespēks, liels nogurums.
riets	Virzīšanās šķietamā kustībā aiz apvāršņa (debess spīdekļiem); apgaismojums laikā, kad saule riet.
čižma	Parastais biškrēsliņš ("Tanacetum vulgare").
boiņa	Lopkautuve.
remes	Grēmas.
zieda	Zieds.
rēdze	Vārpstas vai ass daļa, kas balstās gultnī.
saime	Kopums, ko veido cilvēki, cilvēku grupas, retāk tautas un kam ir kāda kopēja pazīme, kopējas īpašības.
mēķis	Netīrumi, dubļi, mēsli.
simts	Teritoriāli saimnieciska vienība kontinentālajā Rietumeiropā mūsu ēras sākumā un agrajos viduslaikos, kas sastāvēja no 100 vienas cilts vai radniecīgu cilšu savienības lielģimeņu mājām.
guska	Savīts dvielis.
rabas	Grabažas.
ofits	Auss iekaisums.
kūčas	Ziemassvētku, arī Meteņa u. c. svētku reižu ēdiens, ka gatavots no piestā grūstiem miežiem vai kviešiem, kam nolobīta čaumala.
vērte	Vērtība (1).
cenzs	Nosacījums, ar kuru ierobežo kādas tiesības.
šalte	Šalts.
culpa	Civiltiesībās, plašākā nozīmē jebkura vaina; šaurākā (tehniskā) nozīmē neuzmanība kā pretstats ļaunam nolūkam un gadījumam.
časka	Apvalki, mizas (graudiem); arī graudu atkritumi, sīkie graudi.
jākle	Vieta starp gūžām.
ķeija	Ripu sitamā kūja.
oturs	Otrs.
alnus	Alkšņi.
dzēls	Dzēlīgs.
gaons	Augstāko jūdu akadēmiju vadītāju tituls Babilonijas pilsētās Surā un Pumbeditā; krāšņums, godība.
ronds	Visi dejotāji riņķī sastājušies.
ļurza	Pļāpīgs cilvēks.
ģirbe	Parastā irbene ("Viburnum opulus").
avoja	Avoja voi - lieto, lai izteiktu, piemēram, izmisumu, lielas sāpes.
ādžņa	Ādžņa čakra - smalkais saprāta elementu fizioloģiskais centrs, kas atrodas rajonā starp uzacīm un fizioloģiski atbilst hipofīzei.
žilma	Tāds, kurš staigā kā aklais, neievērojot apkārtni.
čarka	Čarka zeme - gēste.
zaras	Drīz.
amara	Prostitūta.
grīma	Dziesma, dziesmiņa.
buķis	Trauks, kurā sasmalcina un arī uzglabā sāli.
pekle	Elle.
gongs	Austrumāzijas tautu metāla sitamais mūzikas instruments izliekta bronzas diska veidā (izmanto arī signalizēšanai); metāla gabals, ko skandina signalizējot.
pļažs	Pludmale.
likts	Divd. --> likt.
jedus	Sasaistītu zvejas tīklu rinda; jeda.
leste	Bute.
abpuš	Abpus.
aknes	Strutainu iekaisumu perēkļi ādas matu maisiņos un tauku dziedzeros (pinnes, pūtītes).
krika	Smējējs.
skips	Kērlinga komandas kapteinis.
manes	Lieto (savienojumā "vai manes"), lai izteiktu nepatiku, sāpes, pārdzīvojumu.
māķis	Ļauns gars, spoks.
tjāga	Ezoterismā absolūta atteikšanās no īpašuma un no tā, ko var dēvēt par sociālo aktivitāti; tas, kurš atteicies no sava īpašuma un kļuvis par vientuļnieku.
pēgma	Lūka skatuves grīdā, kur aktieri var parādīties it kā no zemes apakšas.
pļēpa	Pļāpa.
triks	Darbība, darbību kopums, kam nepieciešama īpaša veiklība un kas ir paredzēts pārsteiguma, izbrīnas u. tml. izraisīšanai (piemēram, akrobātikā, cirka mākslā).
čadra	Viegls plīvurs, kurā musulmaņu sievietes, izejot no mājas, ietinas, atstājot šauru spraugu acīm.
ibēre	Krustziežu dzimtas ģints ("Iberis"), dekoratīvs augs ar sīkiem dažādas krāsas ziediem, ~40 s. (gk. Vidusjūras apg., Mazāzijā), Latvijā vairākas sugas audzē kā krāšņumaugus.
utārs	Lamuvārds.
skočs	Skočterjers.
timpa	Zeķes, kurām nogriezta pēdas daļa.
zebra	Vairākas zirgu ģints sugas, savvaļas dzīvnieks (Āfrikā) ar raksturīgām gaišām un tumšam svītrām šķērsām pa visu ķermeņa virsmu.
sosks	Zīdaiņa knupis.
ūtaļa	Otaļa.
sekla	Seklums, sēklis.
šepka	Puika.
noēda	Utu barība, lamuvārds.
ābūls	Āboliņš.
anona	Divdīgļlapju klases vērtīgs tropu augļu koks.
stābs	Štābs.
lāpis	Salmu sega, ar ko apsegt lecektis pret salnām.
basta	"Viss!", liekot saprast, ka saruna beigusies.
ozena	Hroniska deguna slimība, kam raksturīga gļotādas atrofija, strutaini izdalījumi ar krevelēm un pretīga smaka.
grūda	Cilvēku sadursme.
zarna	Zarnas.
kiots	Aizstiklota kaste vai skapītis ikonu glabāšanai; arī īpašs ietvars reliģiskas pielūgsmes priekšmetu glabāšanai.
irīgs	Tāds, kas viegli irst.
laupa	Laupīšana; laupījums.
lemma	Salikteņu beigu daļa, kas norāda uz apvalku.
argha	Rituālais trauks, parasti sievietes ģenitāliju formā, ko izmanto upurēšanas rituālos, aplaistot svētos priekšmetus un attēlus.
lūsis	Plēsēju kārtas kaķu dzimtas suga ("Lynx lynx", senāk "Felis lynx"), vidēji liels dzīvnieks ar slaidu ķermeni, garām kājām, īsu asti un ausīm, kurām ir pagari apmatojuma pušķi; Eirāzijas lūsis.
zīmsa	Grope.
murce	Murcauka.
ālīgs	Muļķīgs, negudrs, aušīgs, neprātīgs.
zarta	Šķira, suga.
pelus	Pelavas.
kūsis	Dzimumorgānu apmatojums.
titis	Tesmenis.
rozis	Neliels uzkalns (mežā vai purvainā vietā); arī sausa vieta (purvā).
apakš	Norāda uz vietu, zem kuras vai zemāk par kuru kas atrodas, notiek vai virzās; zem.
purza	Sajaukums, mudžeklis.
šmīga	Laba plosta gaita, kur nav ceļā kavēkļu.
piksa	Biezs (sevišķi cūku) ēdiens.
urbis	Viena vai vairāku asmeņu, parasti cilindrveida, griezējinstruments caurumu, dobumu veidošanai vai paplašināšanai.
renda	Zema vieta, dūņu purvs.
sēdus	Tā, ka ķermeņa augšdaļa ir vertikāla un atbalstās uz gurniem, bet kājas (parasti) ir saliektas.
kalka	Priekškaramā atslēga.
siete	Augonis.
cebls	Biezi mati.
žoras	Ļodzīšanās, staipīšanās.
parts	Daļa; loma teātrī; pretinieks (saka it sevišķi tiesā par advokātiem).
lapta	Krievu tautas komandu spēle ar bumbiņu un vālīti.
flišs	Ļoti bieza ritmiski slāņotas uzbūves terigēno nogulumu slāņkopa, ko veidojušas suspensiju plūsmas dziļūdens ieliecēs.
tafta	Viegla zīda drāna sieviešu apģērbam un oderēm.
barbs	Zirgu šķirne, kas 15.-16. gs. no Spānijas ievesti arī Amerikā; berberu zirgs.
kolba	Stikla trauks ar apaļu vai plakanu dibenu (ķīmijas laboratorijās).
loķis	Mašīnu būvniecībā ierīce punktu, virsmu vai ķermeņu virzīšanai pa noteiktu ceļu, bieži taisnlīnijas kustības ieturēšanai.
taska	Narkotiskā reibuma stāvoklis.
aļļis	Pālis purvā, staignā vietā.
ivaka	Maza drusciņa.
īsais	Īssavienojums.
žmija	Galdnieka leņķmērs ar kustīgu rokturi.
grena	Svaigi govs mēsli.
ambra	Smaržīga vaskveida viela, kas veidojas kašalotu gremošanas orgānos un kuru izmanto parfimērijā, arī kā kvēpināšanas līdzekli.
fjors	Fjords.
ajeja	Lieto, lai izteiktu prieku, izbrīnu, pārsteigumu u. tml.
ķeres	Nestuves.
šeine	Izziņa, apliecība (galvenokārt vācu okupācijas laikā).
ģiela	Lieta; darīšana.
žoupa	Žūpa.
salga	Selga (jūrā).
karpa	Zivju klases karpveidīgo kārtas dzimta ("Cyprinidae"), pie kuras pieder ātraudzīgas, siltumu mīlošas saldūdens zivis.
beres	Nodevas.
miela	Mīla.
gumba	Pampums, puns.
dīžļa	Tāds, kas ne mirkli nenostāv mierā.
viška	Nāves sods.
ūzuss	Parasts valodas līdzekļu lietojuma veids tautas valodā, kas ir viens no literārās valodas normu veidošanas (izstrādes) avotiem.
sonde	Zonde.
sīkme	Sīkumi - sīki darbi, atkritumi.
zorte	Šķirne.
pāsma	Posms.
dūdis	Balodis; tas, kas dūdo.
rēčka	Nicināms, nekārtīgs, ņerkšķīgs radījums.
brīvs	Tāds, kas neatrodas (politiskā, ekonomiskā, juridiskā) pakļautībā, atkarībā.
ģirsa	Rudzu lāčauza ("Bromus secalinus").
tresa	Sprukstiņš, vējagrābslis.
ķozis	Bišu strops no koka mizas vai bluķa.
riete	Mātes piens.
obada	Ratu riteņa loks.
resis	Režģis, vētījamais siets.
peļņa	Uzņēmuma tīrais ienākums, ko veido starpība starp produkcijas realizācijas cenu un produkcijas pilno pašizmaksu.
stors	Tiepša, stūrgalvis.
smeķe	Garša.
cīsts	Tīrs, spodrs, šķīsts.
ruķis	Apaļīgs, nobarojies bērniņš.
gulta	Mēbele gulēšanai, parasti paaugstinātiem galiem un rāmi matracim, guļammaisam; arī guļasvieta.
klers	Cilvēks, kas daudz runā, pļāpā; pļāpa.
šmaka	Rīkste.
štete	Šeit.
mukla	Purvaina, staigna vieta.
fraka	Vīriešu svinību tērps - žakete ar lielu izgriezumu priekšā un pagarinātu, dziļi šķeltu muguras daļu.
griža	Trūce.
sepse	Organisma vispārēja smaga saindēšanās, kuras cēlonis ir strutas radošo mikroorganismu un to toksīnu cirkulācija asinīs un limfā.
hovas	Madagskaras iekšienes tauta, franču okupācijas laikā izveidojuši salas aristrokrātiju.
nojis	Bez pārtraukuma, no vienas vietas.
sņats	Snitka - ezera salaka.
lošas	Tīklveida zvejas rīki.
žosts	Kārts ar ko stumt laivu uz priekšu.
žunte	Saišķis.
virba	Klūga, arī neliels koka vai metāla stienis.
lucis	Lucītis (3) - neliela asarveidīgo kārtas jūras zivs ar garenu, gļotām klātu, slaidi konisku ķermeni, strupu galvu un platu muti, kurā ir koniski zobi vairākās rindās.
miļļa	Biezs (dažādu vielu) maisījums.
ariks	Apūdeņošanas kanāls vai grāvis (Vidusāzijā, Kaukāzā).
junis	Jūnijs.
zaims	Valsts aizņēmums.
šauļa	Sauja; šauja.
krīze	Bīstams, sarežģīts, smags stāvoklis; sarežģīts pārejas stāvoklis.
ekārs	Procentos izteikta atkāpšanās prēmija biržas darījumos.
īksns	Kāda zirgu slimība.
šūsts	Ar kurpnieku piķi ievaskots stiprs diegs (piķa drāts).
ponts	Viltība.
šiepa	Izsmējējs, ņirdzējs.
ganda	Samaitātība, izvirtība.
druva	Labības lauks.
īluns	Īlens.
morra	Īpatnēja itāliešu tautas spēle, ko pazinuši jau senie romieši: abi spēlētāji paceļ dūrē savilktu roku sejas augstumā un reizē atpleš dažus pirkstus, pie kam abi divi tai pašā mirklī nosauc izstiepto pirkstu kopskaitu; mora.
krijs	Īpaša veida tītavas, uz kurām uztin audekla velkiem domātos pavedienus.
renčs	Renča.
naoss	Antīko tempļu iekštelpa, kur atradās dievības tēls.
morfa	Veids, forma.
rauga	Ratu sastāvdaļa, pret kuru balstās ratu sānu mala.
nasta	Priekšmetu, masas daudzums, kopums, kas ir sakārtots, savienots tā, ka to var nest; siena, salmu u. tml. daudzums, kopums, ko var vienā reizē saņemt ar darbarīku (parasti ar dakšām).
hercs	Svārstību frekvences mērvienība (starptautiskajā mērvienību sistēmā); Hz.
susla	Dzēriens, kas satur maz vēlamo vielu; arī negaršīgs dzēriens.
emans	Novecojusies ārpussistēmas mērvienība, kas lietota īpatnējās aktivitātes (radioaktīvo vielu koncentrācijas) mērīšanai šķidrumos vai gāzēs.
baķis	Saritināts, satīts liels (parasti auduma) gabals.
jūtis	Savienojumā ar "ceļa": krustceles.
korda	Stīga, metāla stieple.
menga	Vīrieša orgāns.
klokš	Lieto (parasti atkārtojumā), lai atdarinātu perētājas vistas, arī cāļu mātes balss skaņas.
drope	Iedzeršana.
kūkša	Virēja, sieviete, kas gatavo ēdienu.
pička	Pika.
groša	Vecāmāte.
mošķs	Atjautīgs, modrs.
ģikts	Podagra - vielmaiņas traucējumi, kas saistīti ar urīnskābes sāļu uzkrāšanos organismā un to izgulsnēšanos locītavās, zemādā un citur.
