dowve	A dove.
belle	A young lady of superior beauty and attractions; a handsome lady, or one who attracts notice in society; a fair lady.
calin	An alloy of lead and tin, of which the Chinese make tea canisters.
glost	The lead glaze used for pottery.
loran	A system of electronic navigation in which a vessel or aircraft determines its latitude and longitude by measuring the time differences between low frequency radio transmissions from two stationary transmitters (slaves) and a stationary master transmitter.  Contrary to the name, Loran is a medium range system, usually effective for no more than a few hundred miles from shore.  The first commercial system was called Loran A; the latest (and final) development is Loran C.
skiff	A small, light boat.
didal	A kind of triangular spade.
farse	An addition to, or a paraphrase of, some part of the Latin service in the vernacular; -- common in English before the Reformation.
cycad	Any plant of the natural order Cycadace<ae/, as the sago palm, etc.
combe	See Comb.
equus	A genus of mammals, including the horse, ass, etc.
fusil	A bearing of a rhomboidal figure; -- named from its shape, which resembles that of a spindle.
honey	A sweet viscid fluid, esp. that collected by bees from flowers of plants, and deposited in the cells of the honeycomb.
scole	School.
aztec	One of the Aztec race or people.
bogle	A goblin; a specter; a frightful phantom; a bogy; a bugbear.
gulch	Act of gulching or gulping.
roque	A form of croquet modified for greater accuracy of play. The court has a wood border often faced with rubber, used as a cushion in bank shots. The balls are 3<frac14/ in. in diameter, the cage (center arches or wickets) 3<frac38/ in. wide, the other arches 3<frac12/ in. wide.
anion	An electro-negative atom or group of atoms, or the element which, in electro-chemical decompositions, is evolved at the anode; -- opposed to cation.
arise	Rising.
hoard	A store, stock, or quantity of anything accumulated or laid up; a hidden supply; a treasure; as, a hoard of provisions; a hoard of money.
delft	Same as Delftware.
drone	To utter or make a low, dull, monotonous, humming or murmuring sound.
lazar	A person infected with a filthy or pestilential disease; a leper.
mixer	One who, or that which, mixes.
nacre	A pearly substance which lines the interior of many shells, and is most perfect in the mother-of-pearl.
slugs	Half-roasted ore.
abort	An untimely birth.
albyn	Scotland; esp. the Highlands of Scotland.
snack	A share; a part or portion; -- obsolete, except in the colloquial phrase, to go snacks, i. e., to share.
avena	A genus of grasses, including the common oat (Avena sativa); the oat grasses.
stuck	A thrust.
manse	A dwelling house, generally with land attached.
ormer	An abalone.
imago	An image.
knoll	The tolling of a bell; a knell.
manks	The language spoken in the Isle of Man. See Manx.
papaw	Same as papaya, senses 1 and 2.
relay	A number of men who relieve others in carrying on some work.
stunt	A feat hard to perform; an act which is striking for the skill, strength, or the like, required to do it; a feat.
spoor	The track or trail of any wild animal; as, the spoor of an elephant; -- used originally by travelers in South Africa.
scudo	A gold coin of Rome, worth 64 shillings 11 pence sterling, or about $ 15.70.
hight	A variant of Height.
inion	The external occipital protuberance of the skull.
sponk	See Spunk.
wanty	A surcingle, or strap of leather, used for binding a load upon the back of a beast; also, a leather tie; a short wagon rope.
prime	The first part; the earliest stage; the beginning or opening, as of the day, the year, etc.; hence, the dawn; the spring.
plebs	The commonalty of ancient Rome who were citizens without the usual political rights; the plebeians; -- distinguished from the patricians.
gauss	The C.G.S. unit of density of magnetic field, equal to a field of one line of force per square centimeter, being thus adopted as an international unit at Paris in 1900; sometimes used as a unit of intensity of magnetic field. It was previously suggested as a unit of magnetomotive force.
gules	The tincture red, indicated in seals and engraved figures of escutcheons by parallel vertical lines. Hence, used poetically for a red color or that which is red.
liber	The inner bark of plants, lying next to the wood. It usually contains a large proportion of woody, fibrous cells, and is, therefore, the part from which the fiber of the plant is obtained, as that of hemp, etc.
madia	A genus of composite plants, of which one species (Madia sativa) is cultivated for the oil yielded from its seeds by pressure.  This oil is sometimes used instead of olive oil for the table.
armil	A bracelet.
bruit	Report; rumor; fame.
demon	A spirit, or immaterial being, holding a middle place between men and deities in pagan mythology.
zooid	An organic body or cell having locomotion, as a spermatic cell or spermatozooid.
pheon	A bearing representing the head of a dart or javelin, with long barbs which are engrailed on the inner edge.
brome	See Bromine.
kahau	A long-nosed monkey (Nasalis larvatus, formerly Semnopithecus nasalis), native of Borneo. The general color of the body is bright chestnut, with the under parts, shoulders, and sides of the head, golden yellow, and the top of the head and upper part of the back brown. Called also proboscis monkey.  It is now an endangered species.
kimry	See Cymry.
mercy	Forbearance to inflict harm under circumstances of provocation, when one has the power to inflict it; compassionate treatment of an offender or adversary; clemency.
panel	A sunken compartment with raised margins, molded or otherwise, as in ceilings, wainscotings, etc.
spire	A spiral; a curl; a whorl; a twist.
tough	A person who is tough{7}; a ruffian; a thug; as, a cluster of neighborhood toughs hanging out on the corner.
blirt	A gust of wind and rain.
favas	See Favus, n., 2.
taunt	Upbraiding language; bitter or sarcastic reproach; insulting invective.
comma	A character or point [,] marking the smallest divisions of a sentence, written or printed.
suite	A retinue or company of attendants, as of a distinguished personage; as, the suite of an ambassador. See Suit, n., 5.
lawer	A lawyer.
offer	The act of offering, bringing forward, proposing, or bidding; a proffer; a first advance.
vends	See Wends.
cumin	A dwarf umbelliferous plant, somewhat resembling fennel (Cuminum Cyminum), cultivated for its seeds, which have a bitterish, warm taste, with an aromatic flavor, and are used like those of anise and caraway.
forty	The sum of four tens; forty units or objects.
oylet	See Eyelet.
thraw	See Throse.
volge	The common sort of people; the crowd; the mob.
fuzzy	Not firmly woven; that ravels.
krang	The carcass of a whale after the blubber has been removed.
burgh	A borough or incorporated town, especially, one in Scotland. See Borough.
daman	A small herbivorous mammal of the genus Hyrax. The species found in Palestine and Syria is Hyrax Syriacus; that of Northern Africa is Hyrax Brucei; -- called also ashkoko, dassy, and rock rabbit. See Cony, and Hyrax.
carus	Coma with complete insensibility; deep lethargy.
monad	An ultimate atom, or simple, unextended point; something ultimate and indivisible.
quegh	A drinking vessel. See Quaich.
shako	A kind of military cap or headdress.
altar	A raised structure (as a square or oblong erection of stone or wood) on which sacrifices are offered or incense burned to a deity.
arian	One who adheres to or believes the doctrines of Arius.
calpe	the Rock of Gibraltar, a limestone promontory at the southern tip of Spain; associated with Britain.
lichi	See Litchi.
quota	A proportional part or share; the share or proportion assigned to each in a division.
aspic	A savory meat jelly containing portions of fowl, game, fish, hard boiled eggs, etc.
bract	Any modified leaf, or scale, on a flower stalk or at the base of a flower.
aorta	The great artery which carries the blood from the heart to all parts of the body except the lungs; the main trunk of the arterial system.
